# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,std_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
0,1724558915.56669,0,15.0,141996728.21875,0.0,2123800487,172.20001220703125,1.100000023841858,1.5118579864501953,3.5681347846984863,3.631927013397217,0.07736852765083313,-0.1411607265472412,0.009531250223517418,0.0009633469162508845,0.00038647730252705514,0.0009633469162508845,0.8345932364463806,0.9332137107849121,1.0,1.0,0.0,0.0
1,1724558938.0789754,3200,18.0,-51579358.59375,0.0,2123800487,183.88888549804688,1.7666667699813843,1.1881771087646484,-293.41693115234375,-378.16070556640625,84.88385009765625,-0.14009082317352295,0.008937499485909939,0.0009748553857207298,0.0003966623335145414,0.0009748553857207298,0.8488197326660156,0.9246116280555725,1.0,1.0,0.0,0.0
2,1724558963.510857,6400,16.0,-37743711.53125,0.0,2123800487,168.75,1.7249999046325684,1.5438050031661987,182.04412841796875,167.99359130859375,14.191823959350586,-0.14128857851028442,0.009812500327825546,0.0009762822883203626,0.00038806453812867403,0.0009762822883203626,0.8453829884529114,0.934219479560852,1.0,1.0,0.0,0.0
3,1724558989.432177,9600,20.0,8206232.4375,0.0,2006868336,170.0500030517578,1.899999976158142,1.1050124168395996,-160.048828125,-175.2868194580078,15.379161834716797,-0.14116880297660828,0.012874999083578587,0.0009511759853921831,0.00040803058072924614,0.0009511759853921831,0.8339381217956543,0.917681097984314,1.0,1.0,0.0,0.0
4,1724559014.4064684,12800,19.0,147743533.40625,0.0,2123800487,169.26315307617188,2.1526315212249756,0.970319926738739,42.38079071044922,41.687686920166016,0.8343203663825989,-0.14121466875076294,0.010343749076128006,0.0009338402305729687,0.0004193438799120486,0.0009338402305729687,0.8279141187667847,0.9074249267578125,1.0,1.0,0.0,0.0
5,1724559040.467774,16000,22.0,-3999122.5,0.0,2123800487,163.22727966308594,1.4181817770004272,1.1291110515594482,-123.80762481689453,-132.07899475097656,8.412519454956055,-0.14115454256534576,0.01003124937415123,0.0010000525508075953,0.00037616959889419377,0.0010000525508075953,0.8584176301956177,0.9381098747253418,1.0,1.0,0.0,0.0
6,1724559065.550342,19200,19.0,102342812.21875,0.0,2123800487,153.15789794921875,1.3105262517929077,0.9763278961181641,3.1933352947235107,3.3201794624328613,0.01422121748328209,-0.1410653442144394,0.007437499705702066,0.0009689666330814362,0.00040558818727731705,0.0009689666330814362,0.8531728982925415,0.9085391163825989,1.0,1.0,0.0,0.0
7,1724559091.4375615,22400,20.0,-95555327.71875,0.0,2123800487,159.0500030517578,1.2499998807907104,1.308876633644104,-25.20034408569336,-25.39772605895996,0.338542640209198,-0.1411607414484024,0.00828124862164259,0.0009380332194268703,0.00041399896144866943,0.0009380332194268703,0.8298052549362183,0.9084283113479614,1.0,1.0,0.0,0.0
8,1724559118.3185472,25600,19.0,67007791.03125,0.0,2105976182,173.4736785888672,1.626315712928772,0.9048277735710144,83.67448425292969,80.8372802734375,2.9782440662384033,-0.14103496074676514,0.010500000789761543,0.0009134740103036165,0.0004221722192596644,0.0009134740103036165,0.8154972791671753,0.9043287634849548,1.0,1.0,0.0,0.0
9,1724559144.4321678,28800,17.0,-60923359.25,0.0,2123800487,172.76470947265625,1.5117645263671875,1.2776355743408203,-43.8900032043457,-44.77952575683594,1.0305202007293701,-0.1409989446401596,0.008624999783933163,0.000954155926592648,0.00041082673124037683,0.000954155926592648,0.8407263159751892,0.9105774760246277,1.0,1.0,0.0,0.0
10,1724559169.9641476,32000,19.0,82512648.71875,0.0,2123800487,179.3157958984375,2.3105263710021973,1.2727464437484741,52.27458572387695,51.268001556396484,1.147454023361206,-0.14086760580539703,0.01249999925494194,0.0009194206795655191,0.0004185391589999199,0.0009194206795655191,0.8192983865737915,0.9075337052345276,1.0,1.0,0.0,0.0
11,1724559195.0055165,35200,16.0,70531692.8125,0.0,2123800487,179.6875,1.2874999046325684,1.223042607307434,-39.2285270690918,-39.899688720703125,0.8118127584457397,-0.14065349102020264,0.006343750283122063,0.000947430613450706,0.0004044080851599574,0.000947430613450706,0.8303772807121277,0.9218052625656128,1.0,1.0,0.0,0.0
12,1724559222.883529,38400,20.0,54146677.78125,0.0,2123800487,177.5500030517578,1.75,1.1821035146713257,20.132612228393555,20.108028411865234,0.1653633713722229,-0.14077915251255035,0.009874999523162842,0.0009177307365462184,0.0004208633035887033,0.0009177307365462184,0.8144848942756653,0.9109070897102356,1.0,1.0,0.0,0.0
13,1724559247.7115145,41600,18.0,150609231.9375,0.0,2105976182,175.05555725097656,1.6555554866790771,0.9835243225097656,-8.767806053161621,-8.685718536376953,0.058778807520866394,-0.14086651802062988,0.01140624936670065,0.0008950416813604534,0.0004415192233864218,0.0008950416813604534,0.8099145293235779,0.8878443837165833,1.0,1.0,0.0,0.0
14,1724559273.571332,44800,17.0,6344676.375,0.0,2123800487,179.88235473632812,1.9235292673110962,1.3339459896087646,3.604231119155884,3.733302593231201,0.011803846806287766,-0.14087536931037903,0.009531250223517418,0.0009446400217711926,0.00040725336293689907,0.0009446400217711926,0.8262580037117004,0.9257223010063171,1.0,1.0,0.0,0.0
15,1724559301.0275986,48000,21.0,80151034.15625,0.0,2123800487,160.57142639160156,1.2428572177886963,1.5259658098220825,-1.9253169298171997,-1.8011627197265625,0.01677892729640007,-0.14093317091464996,0.006968750152736902,0.0009383184951730072,0.0004181568801868707,0.0009383184951730072,0.8333836197853088,0.9054723381996155,1.0,1.0,0.0,0.0
16,1724559326.8528063,51200,17.0,99772590.71875,0.0,2123800487,170.41175842285156,1.2764705419540405,1.2366938591003418,0.7865080833435059,0.9164136648178101,0.011048972606658936,-0.14095452427864075,0.007906249724328518,0.0009823672007769346,0.0003896107664331794,0.0009823672007769346,0.8539509177207947,0.9259995818138123,1.0,1.0,0.0,0.0
17,1724559351.840439,54400,20.0,107780599.34375,0.0,2123800487,171.0500030517578,1.4500001668930054,1.5652477741241455,-1.4308257102966309,-1.3036599159240723,0.01380980759859085,-0.14097556471824646,0.007406249642372131,0.0009884319733828306,0.00038289761869236827,0.0009884319733828306,0.8547726273536682,0.9338778257369995,1.0,1.0,0.0,0.0
18,1724559378.5472422,57600,18.0,61750573.5625,0.0,2123800487,165.44444274902344,1.3777776956558228,1.4061024188995361,1.1557937860488892,1.2866066694259644,0.010163513012230396,-0.1409764587879181,0.009687500074505806,0.0009468048810958862,0.0004179823154117912,0.0009468048810958862,0.8356451392173767,0.9116849303245544,1.0,1.0,0.0,0.0
19,1724559403.9314325,60800,19.0,193418972.375,0.0,2105976182,175.5263214111328,1.6789472103118896,1.3045129776000977,-0.8250122666358948,-0.696771502494812,0.01276521384716034,-0.1410059779882431,0.009468750096857548,0.0009544644854031503,0.00040126193198375404,0.0009544644854031503,0.8370118737220764,0.9188642501831055,1.0,1.0,0.0,0.0
20,1724559430.6335242,64000,19.0,122057065.3125,0.0,2123800487,164.57894897460938,1.3105262517929077,1.0841763019561768,1.0208630561828613,1.150856852531433,0.01101024728268385,-0.1410040706396103,0.007499999832361937,0.0009565107175149024,0.00040733738569542766,0.0009565107175149024,0.8351825475692749,0.9246653318405151,1.0,1.0,0.0,0.0
21,1724559456.2525535,67200,19.0,158592831.21875,0.0,2123800487,169.57894897460938,1.3631576299667358,1.0975782871246338,-2.5228164196014404,-2.396125316619873,0.01431953627616167,-0.14101043343544006,0.008593750186264515,0.0009092117543332279,0.000430150015745312,0.0009092117543332279,0.8170000910758972,0.8997315764427185,1.0,1.0,0.0,0.0
22,1724559482.7270157,70400,19.0,146331844.5,0.0,2123800487,173.84210205078125,2.0999999046325684,1.0,2.372723340988159,2.5039799213409424,0.009731326252222061,-0.14098794758319855,0.012000000104308128,0.0009173349244520068,0.0004313129174988717,0.0009173349244520068,0.8214653730392456,0.8965566754341125,1.0,1.0,0.0,0.0
23,1724559508.7118616,73600,20.0,-8122929.3125,0.0,2123800487,161.5500030517578,1.2000000476837158,1.483239769935608,-1.642799735069275,-1.5181519985198975,0.01636180281639099,-0.14100952446460724,0.007156250532716513,0.0009608999243937433,0.0004189118626527488,0.0009608999243937433,0.8457743525505066,0.9100252985954285,1.0,1.0,0.0,0.0
24,1724559535.2559938,76800,17.0,153636792.9375,0.0,2105976182,170.41175842285156,1.8058823347091675,1.3117119073867798,1.733190894126892,1.8621747493743896,0.01200646162033081,-0.14099042117595673,0.011468750424683094,0.0010156077332794666,0.0003672596940305084,0.0010156077332794666,0.8675643801689148,0.9448876976966858,1.0,1.0,0.0,0.0
25,1724559563.2840116,80000,19.0,221037572.6875,0.0,2123800487,180.26315307617188,1.9947367906570435,1.2425216436386108,-1.9691671133041382,-1.842789649963379,0.014604168944060802,-0.14098162949085236,0.010968749411404133,0.0009193336591124535,0.0004279064014554024,0.0009193336591124535,0.8162397742271423,0.9093418717384338,1.0,1.0,0.0,0.0
26,1724559588.6556244,83200,19.0,193353661.65625,0.0,2123800487,175.57894897460938,2.047368288040161,1.1772701740264893,0.8577472567558289,0.9892475605010986,0.009544258005917072,-0.14104454219341278,0.01140624936670065,0.0009400345734320581,0.0004171418258920312,0.0009400345734320581,0.8375418186187744,0.8998340964317322,1.0,1.0,0.0,0.0
27,1724559615.6686165,86400,20.0,-101864175.03125,0.0,2123800487,164.5500030517578,1.649999976158142,1.3562721014022827,-0.9808068871498108,-0.8535117506980896,0.013782717287540436,-0.14107786118984222,0.009499998763203621,0.0009909673826768994,0.0003815014206338674,0.0009909673826768994,0.8539214134216309,0.9354661107063293,1.0,1.0,0.0,0.0
28,1724559641.0214689,89600,19.0,132820555.03125,0.0,2123800487,167.89474487304688,1.4684209823608398,1.3420766592025757,0.8781661987304688,1.0088118314743042,0.01044743787497282,-0.14109300076961517,0.006656249985098839,0.0009773139609023929,0.0004055107419844717,0.0009773139609023929,0.8541193008422852,0.9145113825798035,1.0,1.0,0.0,0.0
29,1724559668.8164604,92800,20.0,165876514.28125,0.0,2105976182,158.10000610351562,1.3499999046325684,1.4095538854599,-1.2131261825561523,-1.0832231044769287,0.01116865873336792,-0.14107182621955872,0.009499999694526196,0.0008941985433921218,0.0004324260225985199,0.0008941985433921218,0.8057358860969543,0.8930217027664185,1.0,1.0,0.0,0.0
30,1724559694.1409273,96000,20.0,117169110.65625,0.0,2123800487,152.85000610351562,1.399999976158142,1.2607433795928955,1.1216306686401367,1.254533290863037,0.008186466991901398,-0.14108914136886597,0.009687500074505806,0.0008982761646620929,0.00043677666690200567,0.0008982761646620929,0.8134093880653381,0.8877575397491455,1.0,1.0,0.0,0.0
