# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,std_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
0,1718143878.4559186,0,14.0,-7507969.03125,0.0,2145716683,171.71429443359375,1.3142857551574707,1.1883130073547363,3.535114288330078,3.610377788543701,0.06590704619884491,-0.1411704123020172,0.006468750070780516,0.0009491636883467436,0.00039206165820360184,0.0009491636883467436,0.8236213326454163,0.933786153793335,1.0,1.0,0.0,0.0
1,1718143893.362704,3200,17.0,-77768080.46875,0.0,2145716683,172.76470947265625,0.9823528528213501,1.1114377975463867,-298.4538879394531,-382.34423828125,84.03118133544922,-0.14085035026073456,0.010062499903142452,0.0009300688980147243,0.0004289842036087066,0.0009300688980147243,0.8278719782829285,0.8994525671005249,1.0,1.0,0.0,0.0
2,1718143911.3517787,6400,19.0,-182307031.625,0.0,2145716683,176.1052703857422,1.5736840963363647,1.2635233402252197,159.75302124023438,149.19509887695312,10.69914436340332,-0.14122223854064941,0.007281249389052391,0.0010022541973739862,0.00039606934296898544,0.0010022541973739862,0.86732417345047,0.9208244681358337,1.0,1.0,0.0,0.0
3,1718143928.0517917,9600,18.0,-19659496.34375,0.0,2145716683,189.11111450195312,0.9333332777023315,1.1504473686218262,-167.70443725585938,-184.95115661621094,17.387691497802734,-0.1409691572189331,0.003968749660998583,0.0009650742285884917,0.0004058263439219445,0.0009650742285884917,0.8466122150421143,0.9152930974960327,1.0,1.0,0.0,0.0
4,1718143946.7203782,12800,20.0,-41459430.53125,0.0,2104033810,150.75,0.9999999403953552,1.252366065979004,52.65174865722656,51.58762741088867,1.2053906917572021,-0.14126798510551453,0.0073437499813735485,0.0009708612924441695,0.00040564764640294015,0.0009708612924441695,0.8499671816825867,0.9140672087669373,1.0,1.0,0.0,0.0
5,1718143963.0537744,16000,19.0,8624863.8125,0.0,2145716683,178.36842346191406,1.5736840963363647,1.218761682510376,-105.85150909423828,-112.01546478271484,6.305150985717773,-0.14119906723499298,0.009593750350177288,0.001000222866423428,0.0003845877945423126,0.001000222866423428,0.860454797744751,0.931891143321991,1.0,1.0,0.0,0.0
6,1718143979.740199,19200,17.0,-186003118.71875,0.0,2145716683,173.35293579101562,1.2764705419540405,1.2366937398910522,1.6524865627288818,1.778727650642395,0.014763632789254189,-0.14100471138954163,0.006312500219792128,0.0009670295403338969,0.00040137459291145205,0.0009670295403338969,0.8470974564552307,0.9168461561203003,1.0,1.0,0.0,0.0
7,1718143996.1968513,22400,20.0,-143116065.9375,0.0,2145716683,163.8000030517578,0.49999991059303284,0.8825798034667969,-18.652116775512695,-18.702800750732422,0.19170445203781128,-0.14102058112621307,0.004031249787658453,0.0009717346401885152,0.0004015218000859022,0.0009717346401885152,0.8445335030555725,0.9209298491477966,1.0,1.0,0.0,0.0
8,1718144012.9577818,25600,18.0,-82112226.84375,0.0,2145716683,173.1666717529297,1.8222222328186035,1.4874199628829956,72.30116271972656,70.1390151977539,2.303072214126587,-0.140919491648674,0.010437500663101673,0.0009047519415616989,0.000430041691288352,0.0009047519415616989,0.8152711987495422,0.8912728428840637,1.0,1.0,0.0,0.0
9,1718144030.7249453,28800,19.0,-15594268.78125,0.0,2104033810,169.2105255126953,0.889473557472229,1.0841764211654663,-65.25012969970703,-67.33900451660156,2.230067253112793,-0.14118996262550354,0.003999999724328518,0.0009698878275230527,0.0004011810524389148,0.0009698878275230527,0.8458189368247986,0.9220518469810486,1.0,1.0,0.0,0.0
