# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,std_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
0,1718765182.7563164,0,14.0,50426058.8125,0.0,2127523808,172.7857208251953,1.45714271068573,1.0082080364227295,39.47514343261719,36.201637268066406,3.4146833419799805,-0.14117777347564697,0.009687500074505806,0.0018060269067063928,0.000832635210826993,0.011493529193103313,0.8047020435333252,0.9063414335250854,128.03125,214.3125,1.761704921722412,2.262812614440918
1,1718765192.7099483,3200,19.0,42345593.5625,0.0,2127523808,169.3157958984375,1.4684209823608398,1.3000224828720093,-142.47854614257812,-189.90762329101562,47.568851470947266,-0.13977476954460144,0.00853124912828207,0.0019310819916427135,0.0008120160782709718,0.010462332516908646,0.8467873930931091,0.9148097038269043,368.21875,565.78125,1.5967427492141724,2.970654010772705
2,1718765209.1694622,6400,17.0,15269450.15625,0.0,2127523808,193.0,1.570588231086731,1.230733871459961,208.69973754882812,186.7479248046875,22.093059539794922,-0.14124301075935364,0.007781249936670065,0.0019341170554980636,0.0008087194291874766,0.0097153689712286,0.8496115207672119,0.9179077744483948,625.8125,927.25,1.5100780725479126,3.3504762649536133
3,1718765226.6272423,9600,18.0,39625709.34375,0.0,2031165488,180.55555725097656,1.4333332777023315,1.084652304649353,-128.65939331054688,-163.5424041748047,35.02392578125,-0.14091166853904724,0.00853124912828207,0.0020175783429294825,0.0007703941082581878,0.010548830032348633,0.8719311356544495,0.9266109466552734,887.8125,1285.875,1.439889907836914,3.688708782196045
4,1718765243.4325383,12800,16.0,-124927167.59375,0.0,2127523808,180.9375,1.7874999046325684,1.3022418022155762,114.36284637451172,102.71331787109375,11.790789604187012,-0.14126189053058624,0.008656250312924385,0.001962476409971714,0.0008067791350185871,0.010618726722896099,0.8539363145828247,0.9181341528892517,1148.5,1643.1875,1.4299224615097046,4.001452922821045
5,1718765260.7623904,16000,20.0,-147536670.96875,0.0,2127523808,161.0500030517578,1.25,1.3869694471359253,-22.0730037689209,-42.3637809753418,20.43140983581543,-0.14063343405723572,0.009000000543892384,0.00191449373960495,0.0008443723781965673,0.010914494283497334,0.8526219129562378,0.8944225907325745,1413.1875,1997.4375,1.4107520580291748,4.358796119689941
6,1718765278.1928396,19200,18.0,9442975.1875,0.0,2127523808,171.88888549804688,1.5444444417953491,1.199128270149231,87.14983367919922,73.65811920166016,13.631290435791016,-0.13958241045475006,0.008843748830258846,0.0019504185765981674,0.0008050025207921863,0.010794168338179588,0.8534194827079773,0.917427659034729,1676.5,2360.34375,1.4166688919067383,4.6614990234375
7,1718765296.0495079,22400,18.0,-58666465.03125,0.0,2127523808,187.44444274902344,1.600000023841858,1.581139087677002,-4.1525139808654785,-23.12216567993164,19.107967376708984,-0.13831545412540436,0.009937499649822712,0.0018178554018959403,0.0008708269451744854,0.011755356565117836,0.8160145282745361,0.8955870866775513,1906.8125,2700.59375,1.437377691268921,5.052568435668945
8,1718765313.4987793,25600,22.0,-133642584.46875,0.0,2127523808,160.3636474609375,1.5999999046325684,1.3714781999588013,15.093964576721191,1.093432903289795,14.139931678771973,-0.1393992006778717,0.007531249430030584,0.0018143702764064074,0.0008781953365541995,0.009345621801912785,0.8181008696556091,0.8889122009277344,2141.625,3042.5,1.4687398672103882,5.500154495239258
9,1718765332.1954422,28800,20.0,-82398111.0625,0.0,2031165488,150.0,1.5,1.391704797744751,69.30245208740234,51.69965744018555,17.742172241210938,-0.13938269019126892,0.01171875,0.0017257197760045528,0.0009043315076269209,0.013444471172988415,0.8014256358146667,0.8653475046157837,2360.5625,3382.4375,1.528517484664917,5.930306911468506
10,1718765349.1743124,32000,20.0,-146191285.8125,0.0,2127523808,170.3000030517578,1.7000000476837158,0.8825799226760864,-53.86414337158203,-77.74407958984375,24.016063690185547,-0.13612663745880127,0.010312499478459358,0.0016747652553021908,0.0009242375963367522,0.011987266130745411,0.7861483693122864,0.8536508083343506,2575.90625,3707.0625,1.55513596534729,6.368923664093018
11,1718765366.7106626,35200,18.0,-71367045.75,0.0,2127523808,164.61111450195312,2.433333396911621,0.5940884947776794,109.14556884765625,92.9941635131836,16.289417266845703,-0.13801801204681396,0.013968748971819878,0.0018266791012138128,0.0008887271978892386,0.015795430168509483,0.8263136744499207,0.8838285803794861,2794.25,4034.40625,1.6014652252197266,6.794304847717285
12,1718765385.6297991,38400,17.0,-231543413.40625,0.0,2127523808,177.76470947265625,1.6882352828979492,1.0641206502914429,-16.551820755004883,-35.524559020996094,19.110992431640625,-0.1382550448179245,0.009218749590218067,0.0017228835495188832,0.0009221709333360195,0.010941634885966778,0.791369616985321,0.8692687153816223,3023.8125,4382.96875,1.6431176662445068,7.137629508972168
13,1718765402.5450764,41600,19.0,3943026.46875,0.0,2127523808,167.1052703857422,1.6263154745101929,0.964273989200592,46.83673095703125,27.835323333740234,19.139652252197266,-0.13824476301670074,0.012749999761581421,0.0018299376824870706,0.0008916173246689141,0.014579939655959606,0.8313418626785278,0.8751491904258728,3262.75,4711.21875,1.6527278423309326,7.497454643249512
14,1718765419.9729633,44800,20.0,-124279808.53125,0.0,2031165488,178.5,2.5,0.9403247833251953,13.761518478393555,-5.557247161865234,19.457035064697266,-0.13826987147331238,0.013875000178813934,0.0018607019446790218,0.0008600153960287571,0.015735704451799393,0.829046368598938,0.8988974094390869,3486.78125,5053.59375,1.681260108947754,7.744215965270996
15,1718765437.4156895,48000,20.0,-69257121.0625,0.0,2127523808,156.3000030517578,2.1500000953674316,1.0500627756118774,-11.177861213684082,-25.30202865600586,14.260398864746094,-0.13623107969760895,0.011593750678002834,0.0018097128486260772,0.0008948667091317475,0.013403463177382946,0.8165307641029358,0.8856108784675598,3738.84375,5402.5625,1.6842498779296875,7.981931686401367
16,1718765456.3754265,51200,18.0,5558723.40625,0.0,2127523808,171.0,2.4333336353302,1.5339303016662598,83.33875274658203,63.823970794677734,19.650630950927734,-0.13584765791893005,0.014906249940395355,0.00185960263479501,0.0008726238738745451,0.016765853390097618,0.833907961845398,0.8893715739250183,3979.25,5749.65625,1.6936628818511963,8.216207504272461
17,1718765473.829909,54400,19.0,-40580779.78125,0.0,2127523808,173.89474487304688,2.205263137817383,1.2425215244293213,24.33788299560547,2.331392288208008,22.141033172607422,-0.13454221189022064,0.014468749053776264,0.001804644474759698,0.0008870128658600152,0.016273396089673042,0.8157066702842712,0.891588032245636,4217.25,6090.84375,1.7042256593704224,8.432071685791016
