# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,std_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
0,1724557956.6241984,0,14.0,-25806453.9375,0.0,2137992952,170.85714721679688,1.2428569793701172,1.292412281036377,37.29944610595703,34.16116714477539,3.2794413566589355,-0.14116203784942627,0.008750000037252903,0.0009299120283685625,0.0004088661225978285,0.009679912589490414,0.8201202154159546,0.9152766466140747,142.5625,221.4375,1.5860964059829712,2.0307135581970215
1,1724557980.8355682,3200,22.0,42446107.09375,0.0,2136450826,163.09091186523438,1.372727394104004,1.3159034252166748,-241.3790283203125,-346.35089111328125,105.11239624023438,-0.14053858816623688,0.009437499567866325,0.0009485265472903848,0.0004160442913416773,0.010386028327047825,0.8360288143157959,0.9134911298751831,383.625,575.8125,1.5542434453964233,2.701119899749756
2,1724558006.8251553,6400,15.0,41619772.78125,0.0,2137992952,170.1333465576172,1.8333332538604736,1.1629191637039185,205.6729278564453,184.38388061523438,21.430461883544922,-0.14141950011253357,0.00990624912083149,0.0009303776896558702,0.0004316869890317321,0.010836628265678883,0.8350707292556763,0.8914756774902344,626.90625,929.25,1.552453875541687,3.5068445205688477
3,1724558034.5350456,9600,19.0,4762639.59375,0.0,2137992952,178.0,1.9947367906570435,1.2864567041397095,-71.2057113647461,-98.99432373046875,27.929744720458984,-0.14113694429397583,0.010249999351799488,0.000940896978136152,0.00042394190677441657,0.011190897785127163,0.8362217545509338,0.9031639695167542,875.59375,1282.375,1.533584713935852,4.058662414550781
4,1724558062.686163,12800,20.0,-14905521.59375,0.0,2137992952,167.5500030517578,1.649999976158142,1.0990426540374756,213.53466796875,185.57965087890625,28.095630645751953,-0.14060837030410767,0.010187499225139618,0.0009562683408148587,0.0004162814293522388,0.011143769137561321,0.8422712683677673,0.9114173650741577,1110.65625,1634.53125,1.5778770446777344,4.590441703796387
5,1724558089.8361046,16000,21.0,-34968064.375,0.0,2136450826,152.4761962890625,1.2904760837554932,1.470341444015503,13.181045532226562,-4.025633811950684,17.34723663330078,-0.14055711030960083,0.011531250551342964,0.0009739685337990522,0.00041571323527023196,0.012505220249295235,0.8594433665275574,0.905106782913208,1382.5625,1996.0,1.5239667892456055,4.829216957092285
6,1724558117.9367576,19200,19.0,9326662.34375,0.0,2137992952,170.36842346191406,2.205263137817383,1.048530101776123,17.921836853027344,0.812747061252594,17.24675941467285,-0.13767002522945404,0.010499998927116394,0.0009428491466678679,0.00042098344420082867,0.011442849412560463,0.8354517817497253,0.9075764417648315,1621.40625,2330.84375,1.5147384405136108,5.214263439178467
7,1724558147.415,22400,19.0,69670914.46875,0.0,2137992952,169.36842346191406,2.3631577491760254,1.045737862586975,77.28838348388672,51.08944320678711,26.32926368713379,-0.13032732903957367,0.017125001177191734,0.0009187964024022222,0.00043936586007475853,0.018043797463178635,0.8317013382911682,0.8782768249511719,1883.0,2698.96875,1.5113142728805542,5.552934646606445
8,1724558175.066594,25600,17.0,18598999.40625,0.0,2137992952,181.23529052734375,3.1000001430511475,0.8660256862640381,-21.686439514160156,-52.1671257019043,30.60321807861328,-0.1225309818983078,0.01706249825656414,0.0009785916190594435,0.000401847850298509,0.01804109290242195,0.8570698499679565,0.9170193076133728,2125.28125,3050.84375,1.52775239944458,5.917190074920654
9,1724558201.9688916,28800,18.0,-12242913.3125,0.0,2137992952,164.5,3.0444443225860596,1.2589550018310547,63.411346435546875,46.363914489746094,17.169221878051758,-0.1217879205942154,0.016593748703598976,0.0009445545147173107,0.00041928989230655134,0.01753830723464489,0.8362383842468262,0.9121716022491455,2379.25,3387.4375,1.5055391788482666,6.052450180053711
10,1724558230.9306047,32000,22.0,8871845.84375,0.0,2137992952,162.09091186523438,2.6909091472625732,1.0537503957748413,-6.170410633087158,-29.606672286987305,23.554882049560547,-0.11862029135227203,0.018124999478459358,0.0008976813987828791,0.00045871842303313315,0.019022684544324875,0.827268123626709,0.860894501209259,2622.53125,3746.90625,1.5341788530349731,6.507359981536865
11,1724558257.5089753,35200,16.0,15252752.8125,0.0,2136450826,170.5625,2.6624999046325684,1.2093387842178345,72.31687927246094,54.05095672607422,18.398475646972656,-0.13255468010902405,0.01556249801069498,0.0009675550390966237,0.0004091933951713145,0.016530055552721024,0.8497815728187561,0.9158045053482056,2867.8125,4099.375,1.5508201122283936,6.748492240905762
12,1724558285.995583,38400,21.0,35404703.90625,0.0,2137992952,174.14285278320312,2.6714284420013428,1.5352991819381714,-14.624327659606934,-45.11766052246094,30.61868667602539,-0.12535424530506134,0.0146562485024333,0.0009525230270810425,0.0004216527158860117,0.015608775429427624,0.8436844348907471,0.9051020741462708,3135.75,4453.8125,1.549908995628357,6.936862468719482
13,1724558314.0869224,41600,17.0,-5239355.0,0.0,2137992952,188.58824157714844,3.217646837234497,0.9926199316978455,64.1214599609375,44.10620880126953,20.13370704650879,-0.11845230311155319,0.018718749284744263,0.0009491327218711376,0.00042635449790395796,0.019667884334921837,0.8491514921188354,0.8890615105628967,3364.90625,4770.09375,1.5453568696975708,7.178560256958008
14,1724558342.0820436,44800,17.0,10799244.75,0.0,2137992952,179.8235321044922,2.805882215499878,1.1048024892807007,-23.588926315307617,-47.570945739746094,24.096824645996094,-0.1148054376244545,0.014749999158084393,0.0009324753773398697,0.0004298935818951577,0.01568247564136982,0.8343714475631714,0.8954408764839172,3636.875,5147.3125,1.5376219749450684,7.451940536499023
15,1724558366.897342,48000,17.0,-16415034.5,0.0,2136450826,175.8235321044922,3.0411763191223145,1.0289918184280396,81.07131958007812,62.00489807128906,19.198692321777344,-0.1322695016860962,0.017218749970197678,0.0009442983428016305,0.00043084059143438935,0.018163049593567848,0.8403350114822388,0.8938311338424683,3892.28125,5504.25,1.5553112030029297,7.708810806274414
16,1724558394.7724597,51200,17.0,65618899.03125,0.0,2137992952,194.76470947265625,2.394117593765259,1.5718106031417847,29.679079055786133,8.768237113952637,21.04290771484375,-0.13206635415554047,0.012874999083578587,0.000914166565053165,0.0004391344264149666,0.013789166696369648,0.822702944278717,0.8916187286376953,4140.84375,5851.875,1.5511819124221802,7.884011268615723
