# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,std_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
0,1718212951.547153,0,13.0,-129788447.375,0.0,2124563008,181.84616088867188,1.6384615898132324,1.0500304698944092,38.67436981201172,35.69165802001953,3.123436450958252,-0.14072445034980774,0.011624998413026333,0.0,0.0,0.011624998413026333,1.0,1.0,1.0,1.0,0.0,0.0
1,1718212974.3305666,3200,21.0,-225987949.34375,0.0,2124563008,162.33334350585938,1.4809523820877075,1.3219753503799438,-229.705078125,-364.2752685546875,134.710205078125,-0.14001791179180145,0.010843750089406967,0.0,0.0,0.010843750089406967,1.0,1.0,1.0,1.0,0.0,0.0
2,1718213002.339041,6400,20.0,-115939235.46875,0.0,2124563008,168.35000610351562,1.4999998807907104,1.5008769035339355,167.9458465576172,152.28692626953125,15.799560546875,-0.14064624905586243,0.004843750037252903,0.0,0.0,0.004843750037252903,1.0,1.0,1.0,1.0,0.0,0.0
3,1718213026.7333567,9600,17.0,-203988646.25,0.0,2124563008,168.88235473632812,0.8647057414054871,1.0325580835342407,-149.83462524414062,-180.21697998046875,30.523038864135742,-0.14068083465099335,0.005656249821186066,0.0,0.0,0.005656249821186066,1.0,1.0,1.0,1.0,0.0,0.0
4,1718213054.385949,12800,20.0,-220174259.0,0.0,2076745180,172.60000610351562,1.149999976158142,1.1909749507904053,83.75230407714844,71.40763854980469,12.485482215881348,-0.1408165842294693,0.007062499411404133,0.0,0.0,0.007062499411404133,1.0,1.0,1.0,1.0,0.0,0.0
5,1718213082.127785,16000,18.0,-32468935.8125,0.0,2124563008,162.61111450195312,1.0444443225860596,1.2113299369812012,-49.66963195800781,-61.95058822631836,12.421916961669922,-0.14095935225486755,0.005250000394880772,0.0,0.0,0.005250000394880772,1.0,1.0,1.0,1.0,0.0,0.0
6,1718213108.9174075,19200,16.0,-194691963.21875,0.0,2124563008,185.5,1.5374999046325684,1.314977765083313,144.95852661132812,126.64950561523438,18.448598861694336,-0.1395663172006607,0.010249999351799488,0.0,0.0,0.010249999351799488,1.0,1.0,1.0,1.0,0.0,0.0
7,1718213132.5656104,22400,21.0,-169971417.34375,0.0,2124563008,164.8095245361328,1.57619047164917,1.5690457820892334,37.53324890136719,20.387638092041016,17.285511016845703,-0.1399000585079193,0.010531248524785042,0.0,0.0,0.010531248524785042,1.0,1.0,1.0,1.0,0.0,0.0
8,1718213158.5851886,25600,18.0,130220418.34375,0.0,2124563008,178.22222900390625,2.211111068725586,1.409584403038025,-16.692506790161133,-35.550537109375,18.99523162841797,-0.13720224797725677,0.012937500141561031,0.0,0.0,0.012937500141561031,1.0,1.0,1.0,1.0,0.0,0.0
9,1718213186.5621514,28800,19.0,-8361868.3125,0.0,2076745180,180.84210205078125,2.1526315212249756,1.0787692070007324,46.546844482421875,29.829830169677734,16.85289192199707,-0.13588131964206696,0.010625000111758709,0.0,0.0,0.010625000111758709,1.0,1.0,1.0,1.0,0.0,0.0
10,1718213214.0979424,32000,17.0,-248349053.78125,0.0,2124563008,163.47059631347656,2.5117645263671875,1.2776356935501099,24.46146011352539,5.700771808624268,18.8922176361084,-0.1315298080444336,0.017500000074505806,0.0,0.0,0.017500000074505806,1.0,1.0,1.0,1.0,0.0,0.0
11,1718213239.1705372,35200,21.0,-82257258.34375,0.0,2124563008,165.0,2.385714292526245,0.8451544642448425,1.9121004343032837,-17.100143432617188,19.135356903076172,-0.12311306595802307,0.013249999843537807,0.0,0.0,0.013249999843537807,1.0,1.0,1.0,1.0,0.0,0.0
12,1718213267.178174,38400,19.0,-104207021.09375,0.0,2124563008,163.36842346191406,2.521052598953247,1.0173927545547485,35.298866271972656,24.71295166015625,10.697067260742188,-0.1111510694026947,0.015406248159706593,0.0,0.0,0.015406248159706593,1.0,1.0,1.0,1.0,0.0,0.0
13,1718213293.69624,41600,18.0,85251735.53125,0.0,2124563008,188.8333282470703,2.433333396911621,1.236694097518921,-29.669525146484375,-49.49486541748047,19.939189910888672,-0.11385053396224976,0.012468750588595867,0.0,0.0,0.012468750588595867,1.0,1.0,1.0,1.0,0.0,0.0
14,1718213320.5842955,44800,18.0,-176047468.4375,0.0,2076745180,169.5,3.1000003814697266,1.7149860858917236,83.5107650756836,65.35697174072266,18.28432846069336,-0.13052909076213837,0.017750000581145287,0.0,0.0,0.017750000581145287,1.0,1.0,1.0,1.0,0.0,0.0
15,1718213344.184402,48000,17.0,-259023859.09375,0.0,2124563008,193.11764526367188,2.9235293865203857,1.5904127359390259,-3.1669321060180664,-26.044675827026367,22.999820709228516,-0.12207706272602081,0.015656249597668648,0.0,0.0,0.015656249597668648,1.0,1.0,1.0,1.0,0.0,0.0
16,1718213372.625829,51200,17.0,-121742008.71875,0.0,2124563008,183.8235321044922,2.864705801010132,1.2514699697494507,63.293426513671875,46.725189208984375,16.68218231201172,-0.11394472420215607,0.017124999314546585,0.0,0.0,0.017124999314546585,1.0,1.0,1.0,1.0,0.0,0.0
17,1718213400.2603528,54400,17.0,4935275.75,0.0,2124563008,177.64706420898438,2.9235291481018066,1.0145994424819946,3.684462547302246,-12.768598556518555,16.567062377929688,-0.11400122195482254,0.014562498778104782,0.0,0.0,0.014562498778104782,1.0,1.0,1.0,1.0,0.0,0.0
18,1718213426.934247,57600,18.0,-125838262.9375,0.0,2124563008,188.5,2.655555486679077,1.0966379642486572,14.7710542678833,-1.4660823345184326,16.336301803588867,-0.09916484355926514,0.014156249351799488,0.0,0.0,0.014156249351799488,1.0,1.0,1.0,1.0,0.0,0.0
19,1718213450.0353065,60800,20.0,-231362498.8125,0.0,2076745180,158.3000030517578,2.9000000953674316,1.3218809366226196,31.77136993408203,16.867170333862305,14.995330810546875,-0.09113170206546783,0.018843749538064003,0.0,0.0,0.018843749538064003,1.0,1.0,1.0,1.0,0.0,0.0
20,1718213477.354813,64000,21.0,-354242424.4375,0.0,2124563008,162.38095092773438,2.338095188140869,1.2208507061004639,-21.223648071289062,-36.51768112182617,15.38160228729248,-0.08757030218839645,0.014562498778104782,0.0,0.0,0.014562498778104782,1.0,1.0,1.0,1.0,0.0,0.0
21,1718213506.0682774,67200,21.0,-154860170.4375,0.0,2124563008,147.2857208251953,2.290476083755493,0.9283883571624756,68.48387908935547,54.10014343261719,14.486001014709473,-0.10226680338382721,0.017093747854232788,0.0,0.0,0.017093747854232788,1.0,1.0,1.0,1.0,0.0,0.0
22,1718213531.4458725,70400,17.0,-43223140.15625,0.0,2124563008,168.2941131591797,2.747058629989624,1.2217395305633545,-3.3978099822998047,-15.476056098937988,12.17287826538086,-0.0946321114897728,0.013531249016523361,0.0,0.0,0.013531249016523361,1.0,1.0,1.0,1.0,0.0,0.0
23,1718213556.0281427,73600,22.0,-310435800.15625,0.0,2124563008,159.8636474609375,2.0545454025268555,0.8438727855682373,48.723392486572266,36.17048645019531,12.667987823486328,-0.11508173495531082,0.012968749739229679,0.0,0.0,0.012968749739229679,1.0,1.0,1.0,1.0,0.0,0.0
24,1718213583.4844987,76800,15.0,-190920791.8125,0.0,2040248656,169.00001525878906,2.6999998092651367,1.121224045753479,30.401586532592773,15.108613014221191,15.400869369506836,-0.10789743810892105,0.017124999314546585,0.0,0.0,0.017124999314546585,1.0,1.0,1.0,1.0,0.0,0.0
25,1718213612.4043162,80000,22.0,127499615.21875,0.0,2124563008,179.0454559326172,3.0090909004211426,1.1088000535964966,-9.029847145080566,-23.42095947265625,14.508469581604004,-0.11735726147890091,0.016468748450279236,0.0,0.0,0.016468748450279236,1.0,1.0,1.0,1.0,0.0,0.0
26,1718213636.3686538,83200,15.0,-265156961.375,0.0,2124563008,185.60000610351562,3.833333969116211,1.3345236778259277,85.54279327392578,72.85920715332031,12.811735153198242,-0.12814876437187195,0.020875001326203346,0.0,0.0,0.020875001326203346,1.0,1.0,1.0,1.0,0.0,0.0
27,1718213659.2817519,86400,19.0,-193621937.15625,0.0,2124563008,182.94737243652344,2.5736842155456543,1.3891816139221191,-22.92091178894043,-39.842010498046875,17.0408992767334,-0.11980099976062775,0.013375001028180122,0.0,0.0,0.013375001028180122,1.0,1.0,1.0,1.0,0.0,0.0
28,1718213686.6745,89600,18.0,-28741269.5625,0.0,2124563008,177.3333282470703,2.8222224712371826,1.5264555215835571,38.84386444091797,24.875873565673828,14.083414077758789,-0.11542358994483948,0.015968749299645424,0.0,0.0,0.015968749299645424,1.0,1.0,1.0,1.0,0.0,0.0
29,1718213713.8793764,92800,18.0,-146852218.53125,0.0,2076745180,154.61111450195312,2.377777576446533,1.2274104356765747,-2.3583383560180664,-21.892751693725586,19.64124870300293,-0.10683528333902359,0.016874998807907104,0.0,0.0,0.016874998807907104,1.0,1.0,1.0,1.0,0.0,0.0
30,1718213743.2358754,96000,22.0,-145497836.15625,0.0,2124563008,165.9545440673828,2.9181816577911377,1.4019161462783813,67.64971160888672,49.96432876586914,17.80499839782715,-0.11961458623409271,0.01743750087916851,0.0,0.0,0.01743750087916851,1.0,1.0,1.0,1.0,0.0,0.0
