# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,std_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
0,1724557829.6272643,0,8.0,0.0,0.96875,0,288.0,0.0,0.0,-1.9258627891540527,-1.8318827152252197,0.0033070039935410023,-0.09728711098432541,0.0,0.0,0.0,0.0,0.48828670382499695,0.39583244919776917,36.34375,60.59375,7.04840087890625,19.67336654663086
1,1724557840.66802,3200,9.0,0.0625,1.3125,0,265.3333435058594,0.09305556118488312,0.19930163025856018,38.0534553527832,36.642982482910156,1.5077152252197266,-0.097239650785923,0.000261718756519258,0.0,0.0,0.000261718756519258,0.4351426362991333,0.34645214676856995,84.875,147.03125,10.350189208984375,33.51282501220703
2,1724557859.892647,6400,15.0,0.0,0.84375,0,288.0,0.0,0.0,-1.6391388177871704,-1.5490460395812988,0.0071971421130001545,-0.09728991985321045,0.0,0.0,0.0,0.0,0.42853111028671265,0.34309864044189453,130.53125,233.5,12.685083389282227,42.89841842651367
3,1724557879.1083164,9600,10.0,0.0625,1.15625,0,264.8000183105469,0.0924999937415123,0.221285879611969,4.249126434326172,4.162893295288086,0.18352064490318298,-0.09728743135929108,0.00028906247462145984,0.0,0.0,0.00028906247462145984,0.4507201910018921,0.3415801227092743,179.53125,320.65625,14.246026992797852,50.38279724121094
4,1724557901.0233421,12800,10.0,0.0,1.3125,0,288.0,0.0,0.0,-4.050917148590088,-3.9696390628814697,0.016007069498300552,-0.09728533029556274,0.0,0.0,0.0,0.0,0.4473220109939575,0.3367929458618164,233.96875,413.0625,14.656856536865234,56.38358688354492
5,1724557921.1021214,16000,12.0,0.0,0.90625,0,288.0,0.0,0.0,0.4526402950286865,0.5492950677871704,0.0006273518083617091,-0.09728209674358368,0.0,0.0,0.0,0.0,0.4236791133880615,0.32952451705932617,281.125,499.84375,15.590119361877441,62.16162872314453
6,1724557941.8670843,19200,12.0,0.0,0.5625,0,288.0,0.0,0.0,-0.005741484463214874,0.09121757745742798,0.00032336110598407686,-0.09728242456912994,0.0,0.0,0.0,0.0,0.3883913457393646,0.2978040277957916,320.875,577.59375,17.570953369140625,68.46077728271484
7,1724557961.9723742,22400,10.0,0.03125,0.4375,0,286.8999938964844,0.013437501154839993,0.04249310865998268,0.18181243538856506,0.2738855481147766,0.005209877621382475,-0.09728296846151352,4.199218892608769e-05,0.0,0.0,4.199218892608769e-05,0.3843401372432709,0.3204158842563629,362.375,659.5625,18.95247459411621,73.77254486083984
8,1724557984.662768,25600,12.0,0.0,0.59375,0,288.0,0.0,0.0,-0.3040393888950348,-0.20697367191314697,0.00021696407929994166,-0.09728267043828964,0.0,0.0,0.0,0.0,0.41667959094047546,0.32857757806777954,405.75,744.875,20.03060531616211,78.39772033691406
9,1724558005.3062274,28800,11.0,0.03125,1.3125,0,265.3636474609375,0.07982955127954483,0.264764666557312,3.118330240249634,2.9705047607421875,0.2451077401638031,-0.09728220105171204,0.00027441405109129846,0.0,0.0,0.00027441405109129846,0.4312308430671692,0.3154138922691345,455.78125,832.46875,20.694416046142578,82.86795043945312
10,1724558027.1791809,32000,12.0,0.0625,2.03125,0,266.0,0.08541666716337204,0.20614810287952423,-1.7457363605499268,-1.6861252784729004,0.03766527771949768,-0.09727630019187927,0.000320312479743734,0.0,0.0,0.000320312479743734,0.4145764410495758,0.31238192319869995,502.4375,917.15625,21.32033348083496,87.19454193115234
11,1724558048.5191932,35200,14.0,0.125,1.21875,0,238.9285888671875,0.1819196492433548,0.31519556045532227,4.0320963859558105,3.8432302474975586,0.2861444354057312,-0.09727802872657776,0.0007958984351716936,0.0,0.0,0.0007958984351716936,0.3825041353702545,0.31344303488731384,544.625,998.5,22.5259952545166,91.38179016113281
12,1724558070.3021226,38400,12.0,0.03125,0.71875,0,282.91668701171875,0.02421875111758709,0.0838962197303772,-3.5748329162597656,-3.4981863498687744,0.020634057000279427,-0.09728070348501205,9.082031465368345e-05,0.0,0.0,9.082031465368345e-05,0.38053274154663086,0.2993747591972351,589.03125,1081.40625,23.282913208007812,95.25841522216797
13,1724558090.3008754,41600,10.0,0.0,1.0625,0,288.0,0.0,0.0,-0.780605137348175,-0.6838502287864685,0.0005276065785437822,-0.0972825214266777,0.0,0.0,0.0,0.0,0.39179378747940063,0.307716429233551,622.9375,1150.59375,24.73808479309082,99.58027648925781
14,1724558110.1426122,44800,13.0,0.0,1.34375,0,288.0,0.0,0.0,-0.1591397523880005,-0.061989858746528625,0.00013245627633295953,-0.09728234261274338,0.0,0.0,0.0,0.0,0.39225852489471436,0.3093376159667969,665.4375,1236.3125,25.17585563659668,103.11259460449219
15,1724558130.1605153,48000,10.0,0.0,0.8125,0,288.0,0.0,0.0,-0.20064648985862732,-0.10347898304462433,0.00011495101352920756,-0.09728244692087173,0.0,0.0,0.0,0.0,0.379099041223526,0.2991207540035248,705.40625,1318.5,25.882200241088867,106.75184631347656
16,1724558152.3508677,51200,10.0,0.0,0.875,0,288.0,0.0,0.0,-0.16517598927021027,-0.06800255179405212,0.00010959692735923454,-0.09728303551673889,0.0,0.0,0.0,0.0,0.35314348340034485,0.29472267627716064,740.78125,1392.5625,27.14017677307129,110.59196472167969
17,1724558175.323607,54400,12.0,0.03125,1.6875,0,273.8333435058594,0.05260416865348816,0.18222619593143463,2.0574567317962646,2.031853199005127,0.12288640439510345,-0.09728286415338516,0.000197265631868504,0.0,0.0,0.000197265631868504,0.38430607318878174,0.3050272464752197,782.65625,1469.125,28.035295486450195,113.93095397949219
18,1724558197.0176094,57600,10.0,0.0,1.5625,0,288.0,0.0,0.0,-1.6010022163391113,-1.5058213472366333,0.0021018742118030787,-0.097282774746418,0.0,0.0,0.0,0.0,0.40527814626693726,0.30593574047088623,826.25,1555.34375,28.47970199584961,117.2758560180664
19,1724558218.8835385,60800,13.0,0.03125,1.03125,0,275.0769348144531,0.048076923936605453,0.17334380745887756,1.9179564714431763,1.8881151676177979,0.1271238774061203,-0.0972825437784195,0.00019531248835846782,0.0,0.0,0.00019531248835846782,0.38010451197624207,0.31646066904067993,868.15625,1637.4375,28.995372772216797,120.22020721435547
20,1724558243.1750846,64000,12.0,0.03125,1.9375,0,265.66668701171875,0.078125,0.27063295245170593,-1.6587729454040527,-1.5896039009094238,0.02810683101415634,-0.09727591276168823,0.0002929687325377017,0.0,0.0,0.0002929687325377017,0.4157305359840393,0.3098117411136627,911.34375,1722.5625,29.487411499023438,123.0827865600586
21,1724558264.2111113,67200,12.0,0.0,1.84375,0,288.0,0.0,0.0,-0.6214785575866699,-0.5245803594589233,0.0003756204969249666,-0.0972738042473793,0.0,0.0,0.0,0.0,0.39855512976646423,0.31644999980926514,952.28125,1803.53125,29.700429916381836,125.88861846923828
