# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,std_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
0,1724558825.418246,0,0.0,0.0,1.4375,0,nan,nan,nan,-0.37326377630233765,-0.2769792079925537,0.0010019231121987104,-0.09728650003671646,0.0,0.0002673504641279578,0.00040493428241461515,0.0002673504641279578,0.48397430777549744,0.3927740454673767,1.0,1.0,0.0,0.0
1,1724558834.444729,3200,8.0,0.0,1.34375,0,640.0,0.0,0.0,20.383811950683594,20.025381088256836,0.45563724637031555,-0.097205251455307,0.0,0.00021440867567434907,0.0003884154721163213,0.00021440867567434907,0.45523542165756226,0.3230494260787964,1.0,1.0,0.0,0.0
2,1724558846.2016845,6400,0.0,0.0,1.3125,0,nan,nan,nan,-8.619412422180176,-8.594165802001953,0.07202105224132538,-0.09726787358522415,0.0,0.0001713654783088714,0.00034333026269450784,0.0001713654783088714,0.3975026607513428,0.2952127456665039,1.0,1.0,0.0,0.0
3,1724558857.6255312,9600,8.0,0.0,0.9375,0,640.0,0.0,0.0,11.206708908081055,11.184791564941406,0.1192007064819336,-0.09728295356035233,0.0,0.0002629960945341736,0.0004250821366440505,0.0002629960945341736,0.5020437240600586,0.35838714241981506,1.0,1.0,0.0,0.0
4,1724558869.3640819,12800,7.0,0.0,1.125,0,640.0,0.0,0.0,-3.53945255279541,-3.4537220001220703,0.01154538057744503,-0.09727586805820465,0.0,0.0002495168009772897,0.00041630916530266404,0.0002495168009772897,0.4857364296913147,0.3507099747657776,1.0,1.0,0.0,0.0
5,1724558880.8892648,16000,1.0,0.0,1.53125,0,640.0,0.0,nan,-1.8157246112823486,-1.7213716506958008,0.002922664862126112,-0.09727562963962555,0.0,0.0002305511588929221,0.0004004280490335077,0.0002305511588929221,0.4597345292568207,0.3450031280517578,1.0,1.0,0.0,0.0
6,1724558891.9620862,19200,8.0,0.0,1.53125,0,640.0,0.0,0.0,-0.7568607330322266,-0.6606866121292114,0.0011011525057256222,-0.09727523475885391,0.0,0.0002291956334374845,0.0003953998675569892,0.0002291956334374845,0.4569917917251587,0.34786665439605713,1.0,1.0,0.0,0.0
7,1724558903.3080368,22400,7.0,0.0,1.21875,0,640.0,0.0,0.0,-1.1812653541564941,-1.0860295295715332,0.00203876756131649,-0.09727451205253601,0.0,0.00018783276027534157,0.0003478013095445931,0.00018783276027534157,0.39930832386016846,0.3275127410888672,1.0,1.0,0.0,0.0
8,1724558914.9525497,25600,4.0,0.09375,1.34375,0,387.5,0.4342968761920929,0.2939963638782501,0.27670761942863464,0.3730240762233734,0.0009572377311997116,-0.09727369993925095,0.0003731933538801968,0.0002688275708351284,0.0004300781583879143,0.0002688275708351284,0.4940432012081146,0.37467116117477417,1.0,1.0,0.0,0.0
9,1724558927.1208525,28800,9.0,0.09375,1.0625,0,629.888916015625,0.19302083551883698,0.2912136912345886,-0.28694233298301697,-0.19020026922225952,0.0005310603301040828,-0.09727311879396439,0.0,0.000214985862839967,0.00038283359026536345,0.000214985862839967,0.45251545310020447,0.328204870223999,1.0,1.0,0.0,0.0
10,1724558940.126345,32000,1.0,0.0,1.1875,0,640.0,0.0,nan,-0.10956583172082901,-0.012807732447981834,0.0005148125346750021,-0.09727291017770767,0.0,0.00022200317471288145,0.0003712660982273519,0.00022200317471288145,0.45749861001968384,0.3555155098438263,1.0,1.0,0.0,0.0
11,1724558952.4432209,35200,7.0,0.0,1.0625,0,640.0,0.0,0.0,0.024636253714561462,0.12134146690368652,0.0005669054808095098,-0.0972721204161644,0.0,0.0002315480523975566,0.0003940665046684444,0.0002315480523975566,0.4571141004562378,0.3571298122406006,1.0,1.0,0.0,0.0
