# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,std_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
0,1718143872.5638225,0,0.0,0.0,1.5625,0,nan,nan,nan,-0.3187938332557678,-0.22234699130058289,0.0008396912016905844,-0.09728653728961945,0.0,0.0002652369439601898,0.00040041212923824787,0.0002652369439601898,0.48037222027778625,0.3951273262500763,1.0,1.0,0.0,0.0
1,1718143882.1889918,3200,8.0,0.0,2.25,0,640.0,0.0,0.0,17.775117874145508,17.548500061035156,0.3238471746444702,-0.0972297415137291,0.0,0.00026484456611797214,0.00042295895400457084,0.00026484456611797214,0.49725818634033203,0.3763226866722107,1.0,1.0,0.0,0.0
2,1718143893.1833916,6400,0.0,0.0,0.90625,0,nan,nan,nan,-13.172906875610352,-13.234155654907227,0.15852674841880798,-0.09727764129638672,0.0,0.00018705855472944677,0.0003372304199729115,0.00018705855472944677,0.3979561924934387,0.3501936197280884,1.0,1.0,0.0,0.0
3,1718143904.0316565,9600,8.0,0.0,1.28125,0,640.0,0.0,0.0,12.914229393005371,12.836156845092773,0.17535290122032166,-0.09728070348501205,0.0,0.0002618224825710058,0.0004215468652546406,0.0002618224825710058,0.48841941356658936,0.38392677903175354,1.0,1.0,0.0,0.0
4,1718143916.7003758,12800,6.0,0.0,1.15625,0,640.0,0.0,0.0,-2.3519537448883057,-2.260254383087158,0.005568330176174641,-0.09726773202419281,0.0,0.00022031214029993862,0.0003913769032806158,0.00022031214029993862,0.45009320974349976,0.34644901752471924,1.0,1.0,0.0,0.0
5,1718143928.264425,16000,2.0,0.0,1.65625,0,640.0,0.0,0.0,-1.3617478609085083,-1.26645028591156,0.0019684352446347475,-0.09726595878601074,0.0,0.00023929176677484065,0.0003993040882050991,0.00023929176677484065,0.45222532749176025,0.3690905272960663,1.0,1.0,0.0,0.0
6,1718143939.4070888,19200,7.0,0.0,1.46875,0,640.0,0.0,0.0,-0.798171877861023,-0.7021370530128479,0.0012305208947509527,-0.09726537019014359,0.0,0.00021452372311614454,0.0003819033445324749,0.00021452372311614454,0.43689781427383423,0.34907180070877075,1.0,1.0,0.0,0.0
7,1718143950.4675746,22400,9.0,0.09375,0.8125,0,628.3333129882812,0.0638020858168602,0.095703125,-1.177916407585144,-1.0825530290603638,0.0019012130796909332,-0.09726467728614807,5.981445065117441e-05,0.00017544582078699023,0.00033761037047952414,0.00017544582078699023,0.3870072364807129,0.33553552627563477,1.0,1.0,0.0,0.0
8,1718143962.6546648,25600,2.0,0.0,0.6875,0,640.0,0.0,0.0,-0.3747987449169159,-0.2784905433654785,0.0009562138584442437,-0.09726440906524658,0.0,0.00018789707974065095,0.0003523826308082789,0.00018789707974065095,0.40164995193481445,0.34697145223617554,1.0,1.0,0.0,0.0
9,1718143975.4407022,28800,7.0,0.0,1.03125,0,640.0,0.0,0.0,-0.046990230679512024,0.04945880174636841,0.0008143479935824871,-0.0972633808851242,0.0,0.00020833918824791908,0.0003738432133104652,0.00020833918824791908,0.42095136642456055,0.3511449992656708,1.0,1.0,0.0,0.0
