# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,std_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
0,1718212855.0274904,0,8.0,0.0,1.0625,0,288.0,0.0,0.0,-1.8596446514129639,-1.7678191661834717,0.003075888380408287,-0.09490133821964264,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1718212875.6242335,3200,9.0,0.03125,0.84375,0,273.6666564941406,0.05590277910232544,0.1677083522081375,39.50196838378906,38.01221466064453,1.5843663215637207,-0.0946115180850029,0.00015722656098660082,0.0,0.0,0.00015722656098660082,1.0,1.0,1.0,1.0,0.0,0.0
2,1718212897.9795678,6400,15.0,0.0,1.125,0,288.0,0.0,0.0,-1.6328036785125732,-1.5453433990478516,0.007415090221911669,-0.0948752760887146,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
3,1718212918.829737,9600,9.0,0.0,0.71875,0,288.0,0.0,0.0,0.7823176980018616,0.8761391639709473,0.0010413138661533594,-0.09486275911331177,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
4,1718212940.392514,12800,9.0,0.03125,1.34375,0,274.0,0.05486111342906952,0.16458334028720856,-0.27776825428009033,-0.18716630339622498,0.004286188166588545,-0.09488814324140549,0.0001542968675494194,0.0,0.0,0.0001542968675494194,1.0,1.0,1.0,1.0,0.0,0.0
5,1718212962.2315626,16000,14.0,0.0,1.625,0,288.0,0.0,0.0,-0.060602396726608276,0.03415348380804062,0.00016858988965395838,-0.09492447227239609,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
6,1718212984.2286096,19200,10.0,0.0,1.09375,0,288.0,0.0,0.0,-0.1772526502609253,-0.08248528838157654,0.00014367344556376338,-0.09491104632616043,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
7,1718213003.0861614,22400,14.0,0.0,1.1875,0,288.0,0.0,0.0,0.037368446588516235,0.13214236497879028,0.00017275588470511138,-0.09494666755199432,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
8,1718213025.2692683,25600,8.0,0.0,1.25,0,288.0,0.0,0.0,-0.15543650090694427,-0.06062653288245201,0.00012524261546786875,-0.09493521600961685,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
9,1718213048.0140646,28800,10.0,0.0,1.125,0,288.0,0.0,0.0,-0.12406785041093826,-0.029208462685346603,8.954302757047117e-05,-0.09494893252849579,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
10,1718213070.0932038,32000,14.0,0.0,0.5,0,288.0,0.0,0.0,-0.03554503619670868,0.059322673827409744,0.00011118827387690544,-0.09497889876365662,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
11,1718213091.8447163,35200,10.0,0.03125,1.03125,0,276.70001220703125,0.04531250149011612,0.143290713429451,1.0962153673171997,1.1361839771270752,0.054988473653793335,-0.094957135617733,0.00014160155842546374,0.0,0.0,0.00014160155842546374,1.0,1.0,1.0,1.0,0.0,0.0
12,1718213113.1016548,38400,14.0,0.0625,1.3125,0,280.0,0.03928571194410324,0.11179475486278534,0.2255946397781372,0.26938292384147644,0.05116473510861397,-0.0949530377984047,0.0001718749845167622,0.0,0.0,0.0001718749845167622,1.0,1.0,1.0,1.0,0.0,0.0
13,1718213134.8376796,41600,10.0,0.0,0.8125,0,288.0,0.0,0.0,-2.0743494033813477,-1.9829936027526855,0.0036066905595362186,-0.09496252983808517,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
14,1718213155.8318481,44800,8.0,0.0,1.40625,0,288.0,0.0,0.0,0.7002550363540649,0.7944207787513733,0.0007945167017169297,-0.09496025741100311,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
15,1718213177.4828274,48000,16.0,0.03125,1.09375,0,277.3125,0.03964843600988388,0.15859374403953552,1.4935640096664429,1.4743458032608032,0.11422039568424225,-0.0950021743774414,0.00019824218179564923,0.0,0.0,0.00019824218179564923,1.0,1.0,1.0,1.0,0.0,0.0
16,1718213199.313613,51200,10.0,0.03125,0.875,0,272.6000061035156,0.058125000447034836,0.1838074028491974,-0.6156302690505981,-0.6024437546730042,0.08167882263660431,-0.09486531466245651,0.0001816406293073669,0.0,0.0,0.0001816406293073669,1.0,1.0,1.0,1.0,0.0,0.0
17,1718213222.0228708,54400,12.0,0.03125,1.65625,0,265.16668701171875,0.07968750596046448,0.2760455906391144,0.8837615847587585,0.7725620865821838,0.20607247948646545,-0.09487302601337433,0.00029882811941206455,0.0,0.0,0.00029882811941206455,1.0,1.0,1.0,1.0,0.0,0.0
18,1718213243.9337716,57600,11.0,0.0,1.03125,0,288.0,0.0,0.0,-2.0816285610198975,-1.991013765335083,0.004205452278256416,-0.09482016414403915,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
19,1718213265.1350584,60800,11.0,0.03125,0.84375,0,281.2727355957031,0.030113637447357178,0.09987563639879227,0.398698091506958,0.4910914897918701,0.002418766263872385,-0.09481216967105865,0.00010351562377763912,0.0,0.0,0.00010351562377763912,1.0,1.0,1.0,1.0,0.0,0.0
20,1718213286.6575403,64000,12.0,0.03125,1.03125,0,280.16668701171875,0.03281250223517418,0.11366584151983261,0.18688088655471802,0.26443302631378174,0.01728455163538456,-0.09483667463064194,0.00012304687697906047,0.0,0.0,0.00012304687697906047,1.0,1.0,1.0,1.0,0.0,0.0
21,1718213308.7735379,67200,11.0,0.0,0.75,0,288.0,0.0,0.0,-0.430666446685791,-0.3361644744873047,0.00035687978379428387,-0.09485886245965958,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
22,1718213330.6060567,70400,11.0,0.03125,1.46875,0,268.0,0.07159091532230377,0.23744018375873566,0.41631051898002625,0.4550386071205139,0.05612698197364807,-0.09485509246587753,0.00024609375395812094,0.0,0.0,0.00024609375395812094,1.0,1.0,1.0,1.0,0.0,0.0
23,1718213352.7365775,73600,12.0,0.0,1.59375,0,288.0,0.0,0.0,-0.583025336265564,-0.488471657037735,0.0003057774738408625,-0.09485945850610733,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
24,1718213374.378098,76800,10.0,0.0,1.25,0,288.0,0.0,0.0,-0.18291570246219635,-0.08818718791007996,0.00012142206833232194,-0.09484993666410446,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
25,1718213396.6364202,80000,13.0,0.0,1.28125,0,288.0,0.0,0.0,0.029601916670799255,0.12434275448322296,0.00013183013652451336,-0.09487266838550568,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
26,1718213418.9184282,83200,10.0,0.0,1.28125,0,288.0,0.0,0.0,-0.22816172242164612,-0.1333841234445572,8.386115950997919e-05,-0.0948614701628685,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
