# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,state_counts,change_counts,state_counts_std,change_counts_std
0,1715464976.3845415,0,8.0,0.03125,1.03125,0,283.625,0.02617187425494194,0.0740252360701561,-1.629042625427246,-1.539008617401123,0.007252995390444994,-0.09728702902793884,1.0,1.0,0.0,0.0
1,1715465000.5452678,3200,9.0,0.03125,0.6875,0,277.0,0.04548611119389534,0.13645833730697632,42.78852844238281,41.04182434082031,1.8439486026763916,-0.09724603593349457,1.0,1.0,0.0,0.0
2,1715465025.9136426,6400,15.0,0.0,1.34375,0,288.0,0.0,0.0,-1.934396743774414,-1.8451018333435059,0.007994935847818851,-0.0972898006439209,1.0,1.0,0.0,0.0
3,1715465051.9476376,9600,8.0,0.0,1.78125,0,288.0,0.0,0.0,1.0481876134872437,1.1441771984100342,0.0013019477482885122,-0.09729161858558655,1.0,1.0,0.0,0.0
4,1715465081.783567,12800,10.0,0.0,0.65625,0,288.0,0.0,0.0,-0.5293806195259094,-0.4325392246246338,0.0004504817188717425,-0.09729187190532684,1.0,1.0,0.0,0.0
5,1715465111.230565,16000,14.0,0.0,0.78125,0,288.0,0.0,0.0,-0.01906154304742813,0.0780402347445488,0.00019010936375707388,-0.09729188680648804,1.0,1.0,0.0,0.0
6,1715465138.243815,19200,9.0,0.0,0.90625,0,288.0,0.0,0.0,-0.029118560254573822,0.06800390034914017,0.00016956732724793255,-0.09729202836751938,1.0,1.0,0.0,0.0
7,1715465162.9019654,22400,15.0,0.0,1.28125,0,288.0,0.0,0.0,-0.11323237419128418,-0.016066018491983414,0.00012572309060487896,-0.09729208052158356,1.0,1.0,0.0,0.0
8,1715465191.7605252,25600,9.0,0.03125,1.25,0,269.6666564941406,0.06840278208255768,0.20520833134651184,2.245798110961914,2.2178049087524414,0.12528543174266815,-0.09729216247797012,1.0,1.0,0.0,0.0
9,1715465219.7737513,28800,11.0,0.03125,1.3125,0,285.727294921875,0.01619318127632141,0.05370670557022095,-2.3475492000579834,-2.2623376846313477,0.01207894366234541,-0.09729041159152985,1.0,1.0,0.0,0.0
10,1715465247.1594784,32000,11.0,0.0,0.9375,0,288.0,0.0,0.0,0.09972837567329407,0.1966802179813385,0.0003361016570124775,-0.09728793799877167,1.0,1.0,0.0,0.0
11,1715465272.8325036,35200,12.0,0.0,0.875,0,288.0,0.0,0.0,-0.11282071471214294,-0.015701541677117348,0.00016901327762752771,-0.09728818386793137,1.0,1.0,0.0,0.0
12,1715465302.6043732,38400,12.0,0.03125,0.84375,0,283.41668701171875,0.02265625074505806,0.07848355174064636,0.24988144636154175,0.334328830242157,0.01284085027873516,-0.09728822857141495,1.0,1.0,0.0,0.0
13,1715465332.8729563,41600,10.0,0.0,1.25,0,288.0,0.0,0.0,-0.4215923547744751,-0.324504017829895,0.00019991972658317536,-0.09728825837373734,1.0,1.0,0.0,0.0
14,1715465361.947833,44800,12.0,0.0,0.9375,0,288.0,0.0,0.0,-0.1554885059595108,-0.05832884460687637,0.00012835291272494942,-0.09728801250457764,1.0,1.0,0.0,0.0
15,1715465388.218857,48000,10.0,0.0,1.59375,0,288.0,0.0,0.0,-0.10943689942359924,-0.01224654633551836,9.773716010386124e-05,-0.0972880870103836,1.0,1.0,0.0,0.0
16,1715465418.0802238,51200,10.0,0.0,0.84375,0,288.0,0.0,0.0,-0.10566700249910355,-0.008490540087223053,0.0001116426574299112,-0.0972881019115448,1.0,1.0,0.0,0.0
17,1715465445.805675,54400,13.0,0.0,1.0625,0,288.0,0.0,0.0,-0.029937952756881714,0.06719512492418289,0.00015511299716308713,-0.09728819131851196,1.0,1.0,0.0,0.0
18,1715465472.600375,57600,12.0,0.03125,1.8125,0,266.0833435058594,0.0768229216337204,0.26612240076065063,2.7528076171875,2.608776569366455,0.24131909012794495,-0.09728813171386719,1.0,1.0,0.0,0.0
19,1715465497.16275,60800,11.0,0.0,1.09375,0,288.0,0.0,0.0,-2.9872922897338867,-2.8975131511688232,0.007512262091040611,-0.0972914919257164,1.0,1.0,0.0,0.0
20,1715465525.6940284,64000,10.0,0.0,1.125,0,288.0,0.0,0.0,0.30594393610954285,0.40255066752433777,0.000685508013702929,-0.09729225188493729,1.0,1.0,0.0,0.0
21,1715465554.3617308,67200,11.0,0.0,1.03125,0,288.0,0.0,0.0,-0.23067346215248108,-0.13365119695663452,0.0002703081117942929,-0.09729257971048355,1.0,1.0,0.0,0.0
22,1715465582.777221,70400,12.0,0.0,1.4375,0,288.0,0.0,0.0,-0.16551676392555237,-0.0684661865234375,0.00024216962628997862,-0.09729274362325668,1.0,1.0,0.0,0.0
