# _tick,_time,frames,total_episodes,episode_wins,interactions,visited_states,mean_episode_length,mean_episode_return,episode_return_std,total_loss,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,std_intrinsic_rewards,mean_total_rewards,mean_state_rewards,mean_change_rewards,state_counts,change_counts,state_counts_std,change_counts_std
0,1716148929.7850854,0,0.0,0.0,1.53125,0,nan,nan,nan,1.9287035465240479,2.0206358432769775,0.0053545329719781876,-0.0972868800163269,0.0,0.0007308583590202034,0.0008936216472648084,0.0007308583590202034,0.5537328124046326,0.4750064015388489,23.25,35.59375,4.792628765106201,12.17555046081543
1,1716148943.8459475,3200,16.0,0.0,1.71875,0,288.0,0.0,0.0,-40.57490921020508,-42.31360626220703,1.83597993850708,-0.09728201478719711,0.0,0.0005346913239918649,0.0008379720384255052,0.0005346913239918649,0.4965117871761322,0.384621262550354,39.875,64.0625,6.079896926879883,18.823162078857422
2,1716148973.2562814,6400,8.0,0.0,0.59375,0,288.0,0.0,0.0,1.6292273998260498,1.7121336460113525,0.014384872280061245,-0.09729114174842834,0.0,0.0005072401254437864,0.0008429228910245001,0.0005072401254437864,0.47816795110702515,0.373542457818985,58.40625,97.28125,7.350017070770264,24.164066314697266
3,1716148993.2680373,9600,11.0,0.03125,1.46875,0,268.54547119140625,0.06988636404275894,0.231786847114563,1.021824598312378,0.9859727025032043,0.13314113020896912,-0.09728914499282837,0.00024023436708375812,0.0005047906888648868,0.0008540954440832138,0.0007450250559486449,0.4771992266178131,0.36186712980270386,76.21875,125.84375,7.856723785400391,28.002487182617188
4,1716149023.5525298,12800,12.0,0.03125,1.21875,0,278.5,0.03802083432674408,0.1317080408334732,-1.1355748176574707,-1.0782365798950195,0.03995225206017494,-0.0972905158996582,0.0001425781229045242,0.0005239437450654805,0.0008612324600107968,0.0006665218970738351,0.48987051844596863,0.37012526392936707,96.40625,162.03125,8.104323387145996,31.828214645385742
5,1716149043.7465775,16000,10.0,0.0,1.28125,0,288.0,0.0,0.0,-1.1386868953704834,-1.044182300567627,0.0027818356174975634,-0.09728652238845825,0.0,0.0004653318610507995,0.0008210705127567053,0.0004653318610507995,0.44799506664276123,0.3473321199417114,110.8125,188.65625,9.108283042907715,34.94690704345703
6,1716149074.0641315,19200,12.0,0.03125,1.96875,0,276.41668701171875,0.04453125223517418,0.1542607694864273,1.0809916257858276,1.1528675556182861,0.025408191606402397,-0.09728407114744186,0.0001669921912252903,0.0005229816888459027,0.000877858605235815,0.0006899738218635321,0.49139490723609924,0.36019638180732727,132.625,223.34375,9.376472473144531,38.167564392089844
7,1716149095.3903177,22400,9.0,0.0,0.8125,0,288.0,0.0,0.0,-1.3936586380004883,-1.2991631031036377,0.00278283073566854,-0.0972784012556076,0.0,0.00043171687866561115,0.0007876193849369884,0.00043171687866561115,0.42313283681869507,0.3472926616668701,148.03125,251.84375,10.011297225952148,40.306217193603516
8,1716149127.4828687,25600,11.0,0.0,1.0625,0,288.0,0.0,0.0,0.0972200483083725,0.19312766194343567,0.0013682290446013212,-0.09727583825588226,0.0,0.00042577984277158976,0.0007817834848538041,0.00042577984277158976,0.4175341725349426,0.3387049734592438,162.21875,279.1875,10.690710067749023,43.30738830566406
9,1716149151.1741638,28800,12.0,0.0,0.40625,0,288.0,0.0,0.0,0.09843131899833679,0.19418826699256897,0.0015181240160018206,-0.09727507829666138,0.0,0.0004306943737901747,0.0008063093409873545,0.0004306943737901747,0.42959272861480713,0.3364636301994324,173.40625,302.65625,11.643134117126465,46.521888732910156
10,1716149182.1431026,32000,9.0,0.0,0.8125,0,288.0,0.0,0.0,-0.3133353590965271,-0.21753019094467163,0.0014677329454571009,-0.09727288782596588,0.0,0.0004348228103481233,0.0008077056263573468,0.0004348228103481233,0.4280114769935608,0.33766159415245056,193.96875,341.34375,12.056163787841797,48.55378723144531
11,1716149205.1232324,35200,13.0,0.0,0.75,0,288.0,0.0,0.0,0.3187684416770935,0.4141369163990021,0.0019017020240426064,-0.0972701907157898,0.0,0.0004645572626031935,0.0008327913819812238,0.0004645572626031935,0.44213584065437317,0.3433157205581665,208.4375,365.125,12.39206314086914,50.47062301635742
12,1716149239.0809155,38400,9.0,0.0,1.15625,0,288.0,0.0,0.0,-0.39286231994628906,-0.2973446547985077,0.0017518694512546062,-0.09726952016353607,0.0,0.00045788762508891523,0.0008295385050587356,0.00045788762508891523,0.4345499277114868,0.3408707082271576,224.46875,395.96875,12.670528411865234,52.89274215698242
13,1716149262.4089227,41600,11.0,0.03125,1.3125,0,285.81817626953125,0.015909090638160706,0.05276448279619217,0.3057970702648163,0.3946593403816223,0.008405433036386967,-0.09726771712303162,5.468749805004336e-05,0.00043247989378869534,0.0007948605343699455,0.0004871673882007599,0.42459583282470703,0.33529528975486755,242.65625,427.71875,13.614351272583008,54.83140563964844
